type_desc,type_char,friendly_dir_path
SQL_STORED_PROCEDURE,P,procedures
SERVICE_QUEUE,SQ,queues
USER_TABLE,U,tables
SQL_INLINE_TABLE_VALUED_FUNCTION,IF,functions\table-valued\inline
SQL_TABLE_VALUED_FUNCTION,TF,functions\table-valued\multi-statement
VIEW,V,views
CHECK_CONSTRAINT,C,
DEFAULT_CONSTRAINT,D,
FOREIGN_KEY_CONSTRAINT,F,
INTERNAL_TABLE,IT,
PRIMARY_KEY_CONSTRAINT,PK,
SECURITY_POLICY,SP,
SQL_SCALAR_FUNCTION,FN,functions\scalar
SQL_TRIGGER,TR,tables\triggers
SYSTEM_TABLE,S,tables\system
TYPE_TABLE,TT,types\user-defined-types\table-valued-parameters
UNIQUE_CONSTRAINT,UQ,
SYNONYM,SN,Synonyms
